Département,Slug,Nom_reel,Code_postal,INSEE
1,ozan,Ozan,1190,1284
1,cormoranche-sur-saone,Cormoranche-sur-Saône,1290,1123
1,plagne-01,Plagne,1130,1298
1,tossiat,Tossiat,1250,1422
1,pouillat,Pouillat,1250,1309
1,torcieu,Torcieu,1230,1421
1,replonges,Replonges,1620,1320
1,corcelles,Corcelles,1110,1119
1,peron,Péron,1630,1288
1,relevant,Relevant,1990,1319
1,chaveyriat,Chaveyriat,1660,1096
1,vaux-en-bugey,Vaux-en-Bugey,1150,1431
1,maillat,Maillat,1430,1228
1,faramans-01,Faramans,1800,1156
1,beon-01,Béon,1350,1039
1,saint-bernard-01,Saint-Bernard,1600,1339
1,rossillon,Rossillon,1510,1329
1,pont-d-ain,Pont-d'Ain,1160,1304
1,nantua,Nantua,1460,1269
1,chavannes-sur-reyssouze,Chavannes-sur-Reyssouze,1190,1094
1,neuville-les-dames,Neuville-les-Dames,1400,1272
1,flaxieu,Flaxieu,1350,1162
1,hotonnes,Hotonnes,1260,1187
1,saint-sorlin-en-bugey,Saint-Sorlin-en-Bugey,1150,1386
1,songieu,Songieu,1260,1409
1,virieu-le-petit,Virieu-le-Petit,1260,1453
1,saint-denis-en-bugey,Saint-Denis-en-Bugey,1500,1345
1,charnoz-sur-ain,Charnoz-sur-Ain,1800,1088
1,chazey-sur-ain,Chazey-sur-Ain,1150,1099
1,marchamp,Marchamp,1680,1233
1,culoz,Culoz,1350,1138
1,mantenay-montlin,Mantenay-Montlin,1560,1230
1,marboz,Marboz,1851,1232
1,foissiat,Foissiat,1340,1163
1,treffort-cuisiat,Treffort-Cuisiat,1370,1426
1,izieu,Izieu,1300,1193
1,saint-etienne-du-bois-01,Saint-Étienne-du-Bois,1370,1350
1,hauteville-lompnes,Hauteville-Lompnes,1110,1185
1,saint-trivier-sur-moignans,Saint-Trivier-sur-Moignans,1990,1389
1,peyriat,Peyriat,1430,1293
1,evosges,Évosges,1230,1155
1,poncin,Poncin,1450,1303
1,crans-01,Crans,1320,1129
1,montreal-la-cluse,Montréal-la-Cluse,1460,1265
1,cleyzieu,Cleyzieu,1230,1107
1,lompnieu,Lompnieu,1260,1221
1,villereversure,Villereversure,1250,1447
1,saint-martin-du-mont-01,Saint-Martin-du-Mont,1160,1374
1,saint-genis-pouilly,Saint-Genis-Pouilly,1630,1354
1,bolozon,Bolozon,1450,1051
1,confrancon,Confrançon,1310,1115
1,lochieu,Lochieu,1260,1218
1,chanoz-chatenay,Chanoz-Châtenay,1400,1084
1,villebois,Villebois,1150,1444
1,ceignes,Ceignes,1430,1067
1,saint-didier-sur-chalaronne,Saint-Didier-sur-Chalaronne,1140,1348
1,revonnas,Revonnas,1250,1321
1,bourg-saint-christophe,Bourg-Saint-Christophe,1800,1054
1,condeissiat,Condeissiat,1400,1113
1,pirajoux,Pirajoux,1270,1296
1,chalamont,Chalamont,1320,1074
1,plantay,Le Plantay,1330,1299
1,versailleux,Versailleux,1330,1434
1,montagnat,Montagnat,1250,1254
1,vieu,Vieu,1260,1442
1,saint-andre-de-corcy,Saint-André-de-Corcy,1390,1333
1,bressolles-01,Bressolles,1360,1062
1,peronnas,Péronnas,1960,1289
1,colomieu,Colomieu,1300,1110
1,monthieux,Monthieux,1390,1261
1,saint-jean-sur-reyssouze,Saint-Jean-sur-Reyssouze,1560,1364
1,garnerans,Garnerans,1140,1167
1,montrevel-en-bresse,Montrevel-en-Bresse,1340,1266
1,conand,Conand,1230,1111
1,challes-la-montagne,Challes-la-Montagne,1450,1077
1,mogneneins,Mogneneins,1140,1252
1,thoissey,Thoissey,1140,1420
1,chaleins,Chaleins,1480,1075
1,neuville-sur-ain,Neuville-sur-Ain,1160,1273
1,thil-01,Thil,1120,1418
1,jujurieux,Jujurieux,1640,1199
1,oncieu,Oncieu,1230,1279
1,lurcy,Lurcy,1090,1225
1,balan-01,Balan,1360,1027
1,ambutrix,Ambutrix,1500,1008
1,sainte-croix-01,Sainte-Croix,1120,1342
1,blyes,Blyes,1150,1047
1,conzieu,Conzieu,1300,1117
1,nievroz,Niévroz,1120,1276
1,nurieux-volognat,Nurieux-Volognat,1460,1267
1,ambleon,Ambléon,1300,1006
1,saint-maurice-de-gourdans,Saint-Maurice-de-Gourdans,1800,1378
1,chezery-forens,Chézery-Forens,1200,1104
1,sault-brenaz,Sault-Brénaz,1150,1396
1,murs-et-gelignieux,Murs-et-Gélignieux,1300,1268
1,petit-abergement,Le Petit-Abergement,1260,1292
1,cormoz,Cormoz,1560,1124
1,saint-martin-de-bavel,Saint-Martin-de-Bavel,1510,1372
1,saint-trivier-de-courtes,Saint-Trivier-de-Courtes,1560,1388
1,boyeux-saint-jerome,Boyeux-Saint-Jérôme,1640,1056
1,chateau-gaillard,Château-Gaillard,1500,1089
1,premeyzel,Prémeyzel,1300,1310
1,arandas,Arandas,1230,1013
1,chatenay-01,Châtenay,1320,1090
1,innimond,Innimond,1680,1190
1,boz,Boz,1190,1057
1,briord,Briord,1470,1064
1,reyrieux,Reyrieux,1600,1322
1,matafelon-granges,Matafelon-Granges,1580,1240
1,drom,Drom,1250,1150
1,chatillon-en-michaille,Châtillon-en-Michaille,1200,1091
1,polliat,Polliat,1310,1301
1,vesancy,Vesancy,1170,1436
1,massieux,Massieux,1600,1238
1,saint-cyr-sur-menthon,Saint-Cyr-sur-Menthon,1380,1343
1,serrieres-sur-ain,Serrières-sur-Ain,1450,1404
1,nivollet-montgriffon,Nivollet-Montgriffon,1230,1277
1,izernore,Izernore,1580,1192
1,saint-nizier-le-desert,Saint-Nizier-le-Désert,1320,1381
1,guereins,Guéreins,1090,1183
1,illiat,Illiat,1140,1188
1,trancliere,La Tranclière,1160,1425
1,saint-didier-de-formans,Saint-Didier-de-Formans,1600,1347
1,merignat,Mérignat,1450,1242
1,saint-eloi-01,Saint-Éloi,1800,1349
1,chapelle-du-chatelard,La Chapelle-du-Châtelard,1240,1085
1,saint-jean-de-niost,Saint-Jean-de-Niost,1800,1361
1,savigneux-01,Savigneux,1480,1398
1,nattages,Nattages,1300,1271
1,saint-benoît-01,Saint-Benoît,1300,1338
1,douvres,Douvres,1500,1149
1,francheleins,Francheleins,1090,1165
1,dortan,Dortan,1590,1148
1,saint-germain-les-paroisses,Saint-Germain-les-Paroisses,1300,1358
1,miribel-01,Miribel,1700,1249
1,lancrans,Lancrans,1200,1205
1,echenevex,Échenevex,1170,1153
1,saint-jean-sur-veyle,Saint-Jean-sur-Veyle,1290,1365
1,billiat,Billiat,1200,1044
1,abergement-de-varey,L'Abergement-de-Varey,1640,1002
1,villeneuve-01,Villeneuve,1480,1446
1,villars-les-dombes,Villars-les-Dombes,1330,1443
1,thezillieu,Thézillieu,1110,1417
